,name,artist,release_date,length,acousticness,danceability,instrumentalness,loudness,liveness,tempo,energy,speechiness,valence,time_signature,popularity
147,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,2013,248.0,0.15755304715909085,0.79,0.169678918465909,-9.0,0.1,116.0,0.81,0.04,0.86,3.9829545454545454,77
148,Wrecking Ball,Miley Cyrus,2013,221.0,0.15755304715909085,0.53,0.169678918465909,-6.0,0.11,120.0,0.42,0.03,0.35000000000000003,3.9829545454545454,77
149,Impossible,James Arthur,2013,209.0,0.15755304715909085,0.38,0.169678918465909,-5.0,0.11,170.0,0.7000000000000001,0.09,0.3,3.9829545454545454,77
150,Blurred Lines,Robin Thicke,2013,264.0,0.15755304715909085,0.85,0.169678918465909,-5.0,0.08,120.0,0.6,0.04,0.84,3.9829545454545454,76
151,Heart Attack,Demi Lovato,2013,211.0,0.15755304715909085,0.5,0.169678918465909,-5.0,0.24,174.0,0.79,0.1,0.5,3.9829545454545454,76
152,We Are Never Ever Getting Back Together,Taylor Swift,2013,193.0,0.15755304715909085,0.63,0.169678918465909,-6.0,0.12,86.0,0.68,0.09,0.75,3.9829545454545454,75
153,Die Young,Kesha,2013,212.0,0.15755304715909085,0.71,0.169678918465909,-5.0,0.22,128.0,0.7000000000000001,0.05,0.8,3.9829545454545454,75
154,Clarity,Zedd,2013,271.0,0.615,0.51,0.0,-3.0,0.07,128.0,0.78,0.07,0.18,4.0,75
155,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,2013,215.0,0.15755304715909085,0.5700000000000001,0.169678918465909,-6.0,0.13,126.0,0.81,0.06,0.11,3.9829545454545454,74
156,Under Control,Calvin Harris,2013,184.0,0.15755304715909085,0.54,0.169678918465909,-3.0,0.12,126.0,0.92,0.08,0.51,3.9829545454545454,74
157,Everybody Talks,Neon Trees,2013,177.0,0.15755304715909085,0.47,0.169678918465909,-4.0,0.31,155.0,0.92,0.06,0.73,3.9829545454545454,74
158,"Hold On, We're Going Home",Drake,2013,228.0,0.15755304715909085,0.77,0.169678918465909,-7.0,0.07,100.0,0.41,0.1,0.29,3.9829545454545454,73
